Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,total_hours,minimum_hours,maximum_hours,mean_hours,std_min,absences,absences_pct,of_absence,total_absences,Expected_time_vs_real_time,Expected_vacations_time_vs_real_time,cl
51.0,No,Travel_Rarely,Sales,6.0,College,Life Sciences,1,1,Female,1,Healthcare Representative,Married,131160.0,1.0,Y,11.0,8.0,0,1.0,6.0,1.0,0.0,0.0,3.0,4.0,2.0,3,3,1704.0,6.504722222222222,7.948333333333332,7.373611111111112,16.983333333333334,17.0,0.06827309236947791,12.0,29.0,0.8554216867469879,0.918103448275862,1
31.0,Yes,Travel_Frequently,Research & Development,10.0,Below,Life Sciences,1,2,Female,1,Research Scientist,Single,41890.0,0.0,Y,23.0,8.0,1,6.0,3.0,5.0,1.0,4.0,3.0,2.0,4.0,2,4,1800.0,6.7252777777777775,8.55888888888889,7.718888888888888,18.8,13.0,0.052208835341365466,12.0,25.0,0.9036144578313252,0.9533898305084746,1
32.0,No,Travel_Frequently,Research & Development,17.0,Master,Other,1,3,Male,4,Sales Executive,Married,193280.0,1.0,Y,15.0,8.0,3,5.0,2.0,5.0,0.0,3.0,2.0,2.0,1.0,3,3,1680.0,6.198333333333332,7.993611111111112,7.013055555555557,18.683333333333334,7.0,0.028112449799196783,12.0,19.0,0.8433734939759037,0.8677685950413223,1
38.0,No,Non-Travel,Research & Development,2.0,Doctor,Life Sciences,1,4,Male,3,Human Resources,Married,83210.0,3.0,Y,11.0,8.0,3,13.0,5.0,8.0,7.0,5.0,4.0,4.0,3.0,2,3,1680.0,6.280555555555557,7.890833333333332,7.193611111111112,17.033333333333335,14.0,0.056224899598393566,12.0,26.0,0.8433734939759037,0.8936170212765957,3
32.0,No,Travel_Rarely,Research & Development,10.0,Below,Medical,1,5,Male,1,Sales Executive,Single,23420.0,4.0,Y,12.0,8.0,2,9.0,2.0,6.0,0.0,4.0,4.0,1.0,3.0,3,3,1944.0,7.310277777777778,8.828333333333333,8.00611111111111,18.03333333333333,4.0,0.01606425702811245,12.0,16.0,0.9759036144578314,0.9918367346938776,0
46.0,No,Travel_Rarely,Research & Development,8.0,Bachelor,Life Sciences,1,6,Female,4,Research Director,Married,40710.0,3.0,Y,13.0,8.0,0,28.0,5.0,7.0,7.0,7.0,3.0,2.0,2.0,3,3,2544.0,9.815277777777778,11.743888888888891,10.795833333333333,18.366666666666667,12.0,0.04819277108433735,12.0,24.0,1.2771084337349397,1.3417721518987342,3
28.0,Yes,Travel_Rarely,Research & Development,11.0,College,Medical,1,7,Male,2,Sales Executive,Single,58130.0,2.0,Y,20.0,8.0,1,5.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3,4,1584.0,5.902222222222222,8.092222222222222,6.923333333333333,19.466666666666665,17.0,0.06827309236947791,12.0,29.0,0.7951807228915663,0.8534482758620692,2
29.0,No,Travel_Rarely,Research & Development,18.0,Bachelor,Life Sciences,1,8,Male,2,Sales Executive,Married,31430.0,2.0,Y,22.0,8.0,3,10.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,3,4,1632.0,5.981388888888889,7.370833333333334,6.725555555555554,16.7,6.0,0.024096385542168683,12.0,18.0,0.8192771084337349,0.8395061728395061,2
31.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,1,9,Male,3,Laboratory Technician,Married,20440.0,0.0,Y,21.0,8.0,0,10.0,2.0,9.0,7.0,8.0,2.0,4.0,3.0,3,4,1656.0,6.291388888888888,8.029166666666667,7.236388888888888,18.633333333333333,19.0,0.07630522088353414,12.0,31.0,0.8313253012048193,0.9,1
25.0,No,Non-Travel,Research & Development,7.0,Master,Medical,1,10,Female,4,Laboratory Technician,Divorced,134640.0,1.0,Y,13.0,8.0,1,6.0,2.0,6.0,1.0,5.0,2.0,1.0,3.0,3,3,1656.0,6.330277777777778,7.915833333333333,7.08,17.416666666666668,15.0,0.060240963855421686,12.0,27.0,0.8313253012048193,0.8846153846153846,1
45.0,No,Travel_Rarely,Research & Development,17.0,College,Medical,1,11,Male,2,Laboratory Technician,Married,79910.0,0.0,Y,13.0,8.0,2,21.0,2.0,20.0,4.0,10.0,3.0,4.0,3.0,2,3,2016.0,7.545,9.503888888888891,8.403333333333334,18.483333333333334,8.0,0.0321285140562249,12.0,20.0,1.0120481927710845,1.0456431535269708,1
36.0,No,Travel_Rarely,Research & Development,28.0,Below,Life Sciences,1,12,Male,1,Laboratory Technician,Married,33770.0,0.0,Y,12.0,8.0,2,16.0,2.0,15.0,10.0,11.0,3.0,4.0,3.0,3,3,1680.0,6.262222222222222,7.836944444444446,7.068888888888888,18.58333333333333,8.0,0.0321285140562249,12.0,20.0,0.8433734939759037,0.8713692946058091,1
55.0,No,Travel_Rarely,Research & Development,14.0,Master,Life Sciences,1,13,Female,1,Sales Executive,Single,55380.0,0.0,Y,17.0,8.0,0,37.0,2.0,36.0,4.0,13.0,4.0,1.0,3.0,3,3,2112.0,8.421111111111111,9.955833333333333,9.301388888888887,17.316666666666666,20.0,0.08032128514056225,12.0,32.0,1.0602409638554218,1.1528384279475985,1
47.0,Yes,Non-Travel,Research & Development,1.0,Below,Medical,1,14,Male,1,Research Scientist,Married,57620.0,1.0,Y,11.0,8.0,2,10.0,4.0,10.0,9.0,9.0,1.0,2.0,2.0,2,3,2208.0,8.60388888888889,10.4675,9.399722222222222,17.533333333333335,14.0,0.056224899598393566,12.0,26.0,1.108433734939759,1.1744680851063831,1
